name,year,selling_price,km_driven,owner,mileage(km/ltr/kg),engine,max_power,seats,fuel_CNG,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,price_category
Maruti Swift Dzire VDI,0.004157875728012938,450000,0.061640208502086034,0.0,0.557142857142857,0.2093959731543624,-0.49202393433610087,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Skoda Rapid 1.5 TDI Ambition,0.004157875728012938,370000,0.05083721111514047,2.0,0.5033333333333333,0.2932885906040268,0.3338268688105829,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Honda City 2017-2020 EXi,-2.06652971516731,158000,0.0593101502421566,4.0,0.4214285714285714,0.2929530201342282,-0.38012003147069656,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Hyundai i20 Sportz Diesel,-1.0311859197196485,225000,0.053802739809596115,0.0,0.5476190476190476,0.25906040268456376,-0.0444083228744836,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
Maruti Swift VXI BSIII,-1.8076937663053945,130000,0.05083721111514047,0.0,0.38333333333333336,0.22617449664429531,-0.09476507916391547,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Hyundai Xcent 1.2 VTVT E Plus,0.780665722313759,440000,0.019063689388829953,0.0,0.4795238095238095,0.19228187919463088,-0.2721327652055814,0.24999999999999997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
Maruti Wagon R LXI DUO BSIII,-1.8076937663053945,96000,0.07413779371443484,0.0,0.4119047619047619,0.14664429530201342,-0.9536275336558937,0.24999999999999997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
Maruti 800 DX BSII,-3.3607094594768867,45000,0.0021178111347976833,2.0,0.38333333333333336,0.057718120805369116,-1.527135035841091,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
Toyota Etios VXD,-0.772349970857733,350000,0.03812780242461626,0.0,0.5616666666666666,0.2483221476510067,-0.6850581667789235,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
Ford Figo Diesel Celebration Edition,-0.2546780731339024,200000,0.07159591197633,0.0,0.47619047619047616,0.2600671140939598,-0.6570821910625724,0.24999999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
